id;priorite;sprint;titre;theme;probleme;preuve;reference_benchmark;action_concrete;effort_j;impact;critere_acceptation;dependances
R2.3;P0;S2;Nettoyer le schema (currency ecrit, contract_value supprime, deleted_at, updated_at, profiles.created_at, trigger rappels idempotent);Donnees;"Devise perdue; double source sur le montant; suppression physique; updated_at non maintenu; rappels dupliques a chaque UPDATE; tri admin sur colonne inexistante";CreateContractDialog.tsx:104-117; migrations/20250705115709-*.sql:90,196-220; UserManagementPanel.tsx:33;"Evisort/LinkSquares: metadonnees fiables et reportables";Migration de nettoyage + triggers;1;Critique;"Devise relue apres refresh; 0 duplication de rappel apres 10 updates";R2.1
R2.4;P0;S2;Regenerer les types Supabase et scripter la commande;Donnees;"7 tables et 9 colonnes absentes des types => 21 erreurs TS et code ciblant un schema incertain";types.ts vs migrations/20250705115709-*.sql;"-";npm run db:types (supabase gen types) ajoute au build/CI;0.3;Eleve;"tsc -b = 0 erreur sur les tables concernees";R2.3
R2.5;P0;S2;Localiser devises et pourcentages (formatCurrency(amount, currency) + safePct);Donnees;"MAD code en dur d'un cote, EUR de l'autre; NaN% affiche quand le total est 0";contract-helpers.ts:57-60; DashboardStats.tsx:117; FinancialDashboard.tsx:110;"-";Utilitaires Intl + safePct + affichage - quand indisponible;0.5;Eleve;"Base vide: aucun NaN; devise de la ligne affichee";R2.3
R3.1;P0;S2;Fiche contrat complete sur route dediee;Fonctionnel;"Consulter un contrat ne fait rien (TODO); editer/supprimer inaccessibles (composant orphelin)";ContractTable.tsx:90-93; ContractDetailDialog.tsx orphelin;"LinkSquares/Ironclad: fiche contrat (metadonnees, documents, timeline, obligations)";/app/contrats/:id avec onglets, reutilisation de ContractDetailForm/Guarantees/AlertCreator;2;Critique;"Consulter/editer/supprimer/telecharger fonctionnent et sont traces";R2.1
R3.2;P0;S2;Telechargement de document via URL signee + audit;Fonctionnel;"Le bouton de telechargement n'a aucun handler";ContractTable.tsx:207-215;"DocuSign: acces trace";createSignedUrl + journalisation contract.document.download;0.5;Eleve;"Telechargement reussi et visible dans l'audit";R1.2
R3.3;P0;S2;Confirmation avant suppression + suppression logique;Fonctionnel;"Aucune confirmation; suppression physique autorisee pour tout membre";grep window.confirm = 0; migrations/20250615194949-*.sql:102;"Conservation bancaire";AlertDialog + deleted_at + hard delete reserve aux admins;0.5;Eleve;"Suppression confirmee, reversible par admin, tracee";R1.1
R3.4;P0;S2;Kanban qui persiste (mutation optimiste + alternative au drag);Fonctionnel;"Le glisser-deposer n'ecrit rien (console.log)";ContractKanban.tsx:74-81;"Juro/Ironclad: changement d'etat en ligne";useMutation optimistic + rollback + menu Deplacer vers (WCAG 2.5.7);1;Eleve;"Statut modifie persiste apres refresh; utilisable sans souris";R2.1
R3.5;P0;S2;Etats de liste: skeleton, erreur avec Retry, empty states distincts;Fonctionnel;"Une erreur reseau affiche Aucun contrat disponible";ContractTable.tsx:96-101;"Pattern transversal: zero etat silencieux";isError + Skeleton + EmptyState pedagogique + reinitialiser les filtres;0.5;Eleve;"Coupure reseau => etat d'erreur explicite";-
R3.6;P0;S2;Pagination serveur (range + count) et projection de colonnes;Fonctionnel;"select(*) sans limit: plafond 1000 lignes et latence";ContractList.tsx:10-17;"LinkSquares: referentiel scalable";.range() + Prefer count=exact + composant pagination deja installe;0.5;Eleve;"10 000 lignes: affichage < 1s et pagination correcte";-
R4.1;P0;S3;Remplacer les KPI codes en dur par des RPC d'agregation;Donnees;"+12%, +8%, series mensuelles fictives, 3 contrats expirent, objectifs 85%";DashboardStats.tsx:39-46,99,153,218,244;"LinkSquares: dashboards de portefeuille reels";RPC contract_kpis(bank_id) + variation reelle calculee;1.5;Critique;"Chaque chiffre reproductible en SQL; grep des constantes = 0";R2.3
R4.2;P0;S3;Supprimer les graphiques simules du dashboard financier;Donnees;"Revenue par type et statut de paiement inventes; vocabulaire CA inadapt a une banque";FinancialDashboard.tsx:29-52,93;"LinkSquares/Ironclad: encours, renouvellements, risque";Agregats reels par type/agence/garantie + vocabulaire bancaire;1;Eleve;"0 donnee simulee; drill-down vers la liste filtree";R4.1
R4.3;P0;S3;Brancher le panneau d'alertes sur les donnees reelles;Fonctionnel;"4 alertes statiques de juin 2024; bouton Traiter inerte; compteurs codes en dur";AlertsPanel.tsx:8-49,76-80,126-128;"Ironclad/Gatekeeper: alertes actionnables avec proprietaire";Lecture contract_reminders + actions traiter/reporter/ouvrir;1;Eleve;"Alertes reelles, actionnables, historisees";R8.1
R4.4;P0;S3;Retirer ou brancher la fausse IA d'amelioration de clause;Ethique produit;"L'UI annonce un succes IA produit par un setTimeout";ClauseEditor.tsx:77-86;"Evisort/Ironclad: IA annoncee comme telle, validee par l'humain";Suppression ou branchement R9 + mention brouillon IA a valider;0.3;Eleve;"Aucune simulation presentee comme un resultat";-
R4.5;P0;S3;Persister la bibliotheque de clauses (ou retirer l'onglet);Fonctionnel;"Clauses en useState: tout est perdu au rafraichissement";ClauseManager.tsx:28-77;"Ironclad/Juro: clause library versionnee";Table clauses (bank_id, versions, owner) + CRUD;1;Eleve;"Une clause creee survit au refresh";R2.4
R4.6;P0;S3;Retirer l'onglet Analytiques fictif (ou livrer R15);Fonctionnel;"Fonctionnalite en cours de developpement dans la navigation principale";Dashboard.tsx:100-107;"-";Suppression de l'entree de navigation;0.2;Moyen;"Aucun ecran promettant une feature absente";-
R5.1;P0;S1;Type-check et lint bloquants + CI GitHub Actions;Qualite;"21 erreurs TS et 53 erreurs lint livrables (build = vite build seul)";package.json:8;"Exigence de qualite auditable (SOC2)","build: tsc -b && vite build; lint --max-warnings=0; workflow CI sur PR";1;Eleve;"CI rouge si une erreur TS/lint apparait";-
R5.2;P0;S1;Tests: 12 unitaires (Vitest) + 3 e2e (Playwright) sur les flux critiques;Qualite;"0 test, aucune protection contre les regressions";package.json;"-";Schema, statuts, formatage, rendu table, mutation kanban, garde d'auth + 3 parcours e2e;1.5;Eleve;"CI verte avec couverture des flux critiques";R5.1
R5.3;P0;S1;ErrorBoundary global + par route;Qualite;"Aucun ErrorBoundary: une erreur de rendu = ecran blanc";grep ErrorBoundary = 0;"-";Composants ErrorBoundary avec message humain et Recharger;0.3;Eleve;"Erreur volontaire => boundary affiche";-
R5.4;P0;S1;Nettoyer console.log et code mort;Qualite;"16 console.log dont des donnees de contrat completes; 6 composants orphelins; 3 dependances lourdes inutilisees; mobile.css inemploye";CreateContractDialog.tsx:60,119,132;"-";Suppression + purge ou cablage des orphelins;0.5;Moyen;"git grep console.log src = 0";R3.1
R6.1;P1;S3;Une seule application: routes /app/* + /admin/* et suppression de /legacy;UX;"L'app fonctionnelle est orpheline (aucun lien vers /legacy); la route par defaut est une maquette";App.tsx:76,93;"Juro/Ironclad: separation espace de travail vs administration";Arborescence de routes + redirections + garde par role;2;Critique;"Un seul shell applicatif; chaque vue a son URL";R3.1
R6.2;P1;S3;Layout avec sidebar (composant deja ecrit) + fil d'Ariane + navigation responsive;UX;"8 onglets plats au meme niveau; navigation en useState sans URL";Index.tsx:107-158; ui/sidebar.tsx jamais utilise;"Linear/Notion: navigation laterale hierarchisee";SidebarProvider + sections role-based + breadcrumb;1.5;Eleve;"Navigation hierarchisee, collapsible, accessible au clavier";R6.1
R6.3;P1;S3;Palette de commandes Cmd/Ctrl+K + raccourcis clavier;UX;"Aucun raccourci, aucune commande globale; cmdk installe mais inutilise";ui/command.tsx non importe;"Linear/Notion/Airtable: palette + clavier d'abord","CommandDialog avec navigation, recherche de contrats, actions; raccourcis n, /, g c, ?";1.5;Eleve;"Creer un contrat et naviguer sans souris";R6.1
R6.4;P1;S3;Ecran preferences reel (langue, theme, densite, notifications, mot de passe, sessions);UX;"Le bouton reglages est mort (onClick vide)";Dashboard.tsx:144-147;"ContractSafe/Juro: preferences par utilisateur";/app/parametres avec persistance;1;Moyen;"Preferences persistees et appliquees";R6.1
R7.1;P1;S4;Recherche serveur plein texte + trigramme + facettes;Fonctionnel;"Recherche sur 3 champs cote client; la recherche globale du header ne fait rien";ContractTable.tsx:76-88; SearchBar.tsx:19-22;"LinkSquares: search-first repository";Index gin_trgm + tsvector + RPC search_contracts avec facettes;2;Critique;"Retrouver un contrat en < 500ms sur 50 000 lignes";R3.6
R7.2;P1;S4;Table pro: tri serveur, colonnes configurables, densite, edition en ligne du statut;Fonctionnel;"Table 7 colonnes fixe, sans tri, sans densite";ContractTable.tsx:130-220;"Ironclad/LinkSquares: vues et colonnes personnalisables";Composant DataTable genere + preferences persistees;2;Eleve;"Chaque utilisateur retrouve sa configuration de table";R7.1
R7.3;P1;S4;Vues sauvegardes partageables + filtres dans l'URL;Fonctionnel;"Etat de filtre perdu au rafraichissement; rien de partageable";Index.tsx (useState) ;"Airtable/Notion/LinkSquares: saved views";Table saved_views + chips de filtres + query params;1.5;Eleve;"Une vue enregistree est rejouee a l'identique par URL";R7.2
R7.4;P1;S4;Actions en masse (statut, reassignation, tags, export, rappel);Fonctionnel;"Aucune operation grouppee";-;"Ironclad: bulk actions","Selection multiple + barre d'actions flottante + audit";1.5;Eleve;"50 contrats mis a jour et exportes en une operation";R7.2
R7.5;P1;S4;Exports CSV/XLSX/PDF (dependances deja installees);Fonctionnel;"jspdf, jspdf-autotable et xlsx sont installes mais jamais utilises";package.json;"ContractSafe/LinkSquares: exports et rapports planifies","Handlers d'export + tracabilite audit";1;Eleve;"Export fidele a la vue filtree";R7.3
R7.6;P1;S4;Import en masse (CSV + ZIP de PDF) avec rapport d'erreurs;Fonctionnel;"Un seul fichier a la fois, zippe, sans validation";CreateContractDialog.tsx:63-80;"Evisort/ContractSafe: ingestion du stock existant = time-to-value","Assistant d'import: mapping colonnes, preview, doublons, rapport telechargeable";2;Eleve;"1000 contrats importes avec 0 doublon et un rapport exploitable";R2.3
R8.1;P1;S4;Moteur d'echeances serveur (J-90/60/30/7) + statut expire automatique;Fonctionnel;"Trigger dupliqueur, aucun cron, alertes fictives";migrations/20250705115709-*.sql:196-220; AlertsPanel.tsx:8-49;"Ironclad/Gatekeeper: renouvellements et alertes automatiques","pg_cron quotidien + rappels idempotents + regles par banque";2;Critique;"Un contrat a J-29 declenche rappel et notification";R2.3
R8.2;P1;S4;Modele d'obligations avec proprietaire nomme et escalade;Fonctionnel;"Aucun objet obligation; assigned_to jamais utilise";migrations/20250705115709-*.sql:94 (assigned_to) ;"Ironclad: chaque obligation a un proprietaire nomme; champs minimaux: description, responsable, echeance, clause liee, statut, escalade","Table contract_obligations + ecran de gestion + lien avec extractions IA";2;Eleve;"Filtre les miennes; escalade apres X jours sans action";R8.1
R8.3;P1;S5;Ecran A traiter comme vue par defaut;UX;"L'ecueil d'accueil affiche des compteurs et des alertes fictives";Dashboard.tsx:44-88;"Ironclad Obligations Dashboard: dashboards filtrables 30/60/90 et exceptions","4 files: echeances, signatures, documents manquants, validations IA; action en 1 clic; compteur sidebar";2;Critique;"Ouverture de l'app = reponse a qu'est-ce qui m'attend";R8.1
R8.4;P1;S5;Notifications in-app temps reel + e-mail (digest et J-7);Fonctionnel;"Badge fige a 3; NotificationCenter cible une table absente des types; aucun Realtime";Dashboard.tsx:139; useNotifications.ts orphelin;"Juro: statut et notifications; ContractWorks: rappels","Canal Realtime sur notifications + templates e-mail + preferences";1.5;Eleve;"Badge reel; notification recue en < 5s";R2.4
R9.1;P1;S5;Pipeline d'extraction IA au depot (OCR + champs + score de confiance);IA;"contract_ai_extractions (confidence_score, reviewed_by, is_verified) jamais cable; extraction non utilisee";migrations/20250705115709-*.sql:75-85; useContractExtraction.ts orphelin;"Evisort Document X-Ray; LinkSquares Smart Values: extraction + verification humaine","Upload -> OCR -> extraction -> file de validation avec badges de confiance et surlignage source";3;Eleve;">=8 champs pre-remplis; validation en < 2 min";R1.6
R9.2;P1;S5;Assistant IA ancre sur les donnees du tenant (outils RPC + streaming);IA;"Chat generique sans acces aux donnees; questions codees en dur; fetch sans auth; pas de streaming";AiAssistantSheet.tsx:18-23,62-68;"Juro Operator: Q&A en langage naturel sur le referentiel; Ironclad Jurist","Outils search_contracts/contract_kpis/upcoming_deadlines + JWT utilisateur + SSE + historique";3;Eleve;"Reponse correcte a quels contrats hypothequaires expirent ce trimestre a l'agence Nord";R1.6;R7.1
R9.3;P1;S5;Garde-fous IA: quota, cout plafond, journalisation, mention a valider, anti-injection;IA;"Aucune limite ni tracabilite des appels; contenu documentaire injecte tel quel dans le prompt";functions/ai-*/index.ts;"Pratiques IA responsables des leaders (human-in-the-loop)","Table ai_usage + mention systematique + delimitation du contenu + filtrage";1.5;Eleve;"Quota declenche 429; chaque appel journalise avec cout";R1.6
R10.1;P1;S5;Moteur de workflow d'approbation conditionnel (template_workflow_steps execute);Fonctionnel;"Tables et UI d'admin de workflow existent mais rien n'est execute";template_workflow_steps; TemplateWorkflowManager.tsx;"Ironclad: routage conditionnel no-code, escalade, delegation","contract_workflows + events + conditions montant/type/garantie + delegation";4;Critique;"Un contrat de 600k suit un circuit a 3 valideurs";R2.1
R10.2;P1;S5;Matrice de roles effective (6 roles appliques en base et en UI);Securite;"6 roles declares, 3 utilises; seul isAdmin a 2 valeurs est exploite";types.ts Enums app_role; Index.tsx:32;"RBAC enterprise (Ironclad/DocuSign)","Policies par role + garde UI + tests RLS par role";2;Eleve;"Un user ne peut pas valider; un auditor lit et exporte sans modifier";R1.1
R10.3;P1;S6;Signature electronique avec preuve (hash SHA-256, IP, horodatage, certificat) et scellement;Conformite;"Aucune signature, aucun hash, aucune conformite eIDAS";grep hash/signature = 0;"DocuSign CLM; eIDAS SES/AES/QES: e-mail, IP, ISO 8601, hash, methode, user-agent, certificat de completion","Integration e-sign ou signature interne + scellement + certificat PDF + retention";4;Critique;"Document signe: hash verifiable, modification refusee";R10.1
R10.4;P1;S6;Piste d'audit exhaustive et exploitable (diff lisible, filtres, export, interface en francais);Conformite;"2 actions journalisees seulement; UI en anglais; JSON brut affiche; pas de journalisation des acces";ContractList.tsx:45,73; AuditLogPanel.tsx:34-36,66-70;"Gatekeeper/Ironclad: audit trails automatiques et exportables","write_audit sur toutes les actions sensibles + diff avant/apres + filtres + export CSV + acces documents";3;Eleve;"Repondre en <1min a qui a consulte/modifie le contrat X sur telle periode";R1.4
R11.1;P1;S3;Design system unique (2 themes tokens, composants metier, regle anti-couleurs en dur);Cohérence;"Deux design systems (sombre orange/rouge vs clair bleu); tokens sombres par defaut mais ecrans clairs en dur";index.css:11-40 vs Dashboard.tsx:110;"Juro: coherence visuelle citee comme facteur d'adoption","next-themes + tokens light/dark + StatusBadge/Money/DateCell/KpiCard/EmptyState + regle ESLint";3;Eleve;"Aucun ecran ne melange deux systemes; theme bascule sans classe en dur";R6.1
R11.2;P1;S3;White-label reel (logo, couleurs appliques; suppression du custom_css libre);Fonctionnel;"Le branding est ecrit en base mais jamais lu; custom_css libre = risque d'injection";OrganizationBrandingManager.tsx:62-69,38,393;"Multi-tenant: theming par variables, jamais par CSS injecte","Lecture par bank_id + variables CSS + logo dans sidebar/PDF/e-mails + suppression custom_css";2;Eleve;"Une banque configure et voit sa marque partout";R11.1
R11.3;P1;S3;Identite produit unique (un nom, un logo, un ton) sur tous les supports;Cohérence;"4 noms: JURIX, Contract Manager, CONTRACT MANAGER, contract-bank-pro";Landing.tsx:139; index.html:6; Index.tsx:66; capacitor.config.ts:5;"-";Decision de marque + application (titres, meta, footer, e-mails, exports);0.5;Moyen;"Un seul nom partout";-
R12.1;P1;S3;Accessibilite: noms accessibles, labels, landmarks, skip link, aria-live;Accessibilité;"Boutons icone sans nom; select sans label; champs de landing sans label; pas de landmarks";ContractTable.tsx:124-138,198-216; Landing.tsx:175-195;"WCAG 2.2 AA (4.1.2, 1.3.1, 3.3.2, 2.4.1)","Corrections systematiques + eslint-plugin-jsx-a11y en erreur";1.5;Eleve;"0 violation axe-core critique sur les 6 ecrans principaux";R11.1
R12.2;P1;S3;Accessibilite: clavier complet, focus visible, cibles >=24px, alternative au drag;Accessibilité;"Focus sans anneau; cibles sm; Kanban sans alternative au glisser; panneau de filtre sans Echappement";ContractKanban.tsx:70-81; SearchBar.tsx:66+;"WCAG 2.2: 2.5.7 Dragging Movements, 2.5.8 Target Size, 2.4.7/2.4.11 Focus","Anneau focus-visible global; menu Deplacer vers; cibles 24/44px; Echappement partout";1.5;Eleve;"Parcours creation 100% clavier; Kanban utilisable sans souris";R12.1
R12.3;P1;S3;Accessibilite: contrastes AA et information sans couleur;Accessibilité;"Statuts distingues par la couleur seule; slate-400/orange-400 a faible contraste";ContractTable.tsx:38-70; Index.tsx:60-100;"WCAG 1.4.1 / 1.4.3 / 1.4.11","Tokens valides au contrastimetre; icone + texte sur chaque statut";1;Eleve;"Contrastes >=4.5:1 (texte) et >=3:1 (UI) verifies";R11.1
R13.1;P2;S6;i18n reel: extraction de toutes les chaines FR/EN/AR;Internationalisation;"5 cles, 0 appel a t(), AuditLogPanel en anglais, dates fr-FR codees en dur";public/locales/*; AuditLogPanel.tsx:34-36;"CLM enterprise: 100+ langues (Sirion/Evisort)","i18next-parser + 3 namespaces + cles de statut/devise + Intl","3";Eleve;"Bascule FR->EN traduit 100% de l'UI";R11.1
R13.2;P2;S6;RTL arabe complet (proprietes logiques, polices arabes, tests visuels);Internationalisation;"dir=rtl applique sans aucun style RTL; marges/alignements en dur";LanguageSwitcher.tsx:28-31; grep rtl = 0;"Differenciateur sur le marche MENA","ms-*/me-*/ps-*/pe-* + Noto Sans Arabic self-hosted + snapshots AR; validation juridique des termes bancaires","3";Eleve;"Aucune mise en page cassee en AR; termes valides";R13.1
R14.1;P2;S6;Bibliotheque de clauses versionnee + detection d'ecart au playbook;Fonctionnel;"Clauses en memoire, IA simulee, aucune notion de clause de reference";ClauseManager.tsx:28-77; ClauseEditor.tsx:77-86;"Ironclad Jurist: clause library, risk detection, playbook comparison, redline","clauses + clause_versions + approbation juridique + comparaison d'ecart avec score","5";Moyen;"Un contrat tiers importe signale >=3 ecarts justifies";R9.1;R4.5
R15.1;P2;S6;Analytics bancaires reels (encours, cycle, garanties, echeances) avec drill-down;Fonctionnel;"Analytiques = texte en cours de developpement; KPI fictifs; vocabulaire CA inadapt";Dashboard.tsx:100-107; FinancialDashboard.tsx:29-52;"LinkSquares: dashboards de portefeuille; Ironclad: KPIs/renewals/obligations","RPC d'agregation + graphiques + drill-down URL + exports + rapports planifies","5";Eleve;"Chaque chiffre reproductible en SQL; clic = liste filtree";R4.1;R7.3
R16.1;P2;S6;Collaboration: commentaires avec mentions, presence, versions, partage externe controle;Fonctionnel;"contract_comments et contract_versions jamais cables; aucun Realtime";migrations/20250705115709-*.sql:17-37;"Juro: espace de negociation partage; Ironclad: historique de negociation centralise","UI commentaires + Realtime presence + diff/restauration de versions + lien externe a duree de vie trace","5";Moyen;"Commentaire visible en <2s; version anterieure restaurable; acces externe traces";R8.4
R17.1;P2;S6;Administration multi-tenant: onboarding banque, invitations, matrice de permissions;Administration;"Creation de banque et d'utilisateurs impossible sans SQL; panneau admin en erreur";UserManagementPanel.tsx:33;"ContractSafe: onboarding en jours; Ironclad: multi-entity","Ecrans super_admin: creer banque (devise, fuseau, delais, retention), inviter par e-mail avec role/agence","4";Eleve;"Nouvelle banque operationnelle en <10 min sans SQL";R2.3;R10.2
R17.2;P2;S6;SSO SAML/OIDC + MFA TOTP + gestion des sessions;Securite;"Pas de MFA ni de SSO; input-otp installe mais inutilise";Auth.tsx;"Exigence RSSI bancaire; tous les leaders enterprise","Supabase SSO/SAML + TOTP + ecran sessions actives + revocation","4";Eleve;"Connexion MFA et SSO fonctionnelles en production";R1.3
R18.1;P2;S6;Budget performance: code splitting, manualChunks, polices self-hosted, landing allegee;Performance;"382 kB gzip en un seul chunk; 2 polices Google render-blocking; 180 divs aleatoires; caniuse-lite vieux de 23 mois";build output; index.css:2-3; Landing.tsx:63-105;"Bonnes pratiques web (budget <=200kB shell; LCP <2.5s; INP <200ms)","lazy/Suspense par route + manualChunks + size-limit en CI + fonts self-hosted + fond SVG statique","3";Eleve;"Shell <=200 kB gzip; LCP <2.5s; CI bloque si depassement";R6.1
R18.2;P2;S6;Observabilite: Sentry, web-vitals, Lighthouse CI, journalisation applicative;Performance;"Aucune instrumentation: un incident en production est invisible";grep Sentry/vitals = 0;"-","Sentry (erreurs + traces + contexte banque) + web-vitals + Lighthouse CI + alerting","2";Eleve;"Erreurs et Core Web Vitals visibles avec seuils alertes";R5.1
R19.1;P2;S6;Mobile assume: PWA ou Capacitor local (build embarque, push, hors-ligne, tactile);Mobile;"App native pointant vers un site distant avec cleartext true; usePlatform et mobile.css morts";capacitor.config.ts:6-9; use-platform.tsx orphelin;"-","Decision PWA/natif + build local + notifications push + zones sures + cibles 44px + cache hors-ligne","5";Moyen;"Un agent consulte et met a jour un contrat depuis un telephone";R11.1;R8.4
R20.1;P2;S6;Landing credible et conforme: preuves reelles, formulaire branche, CTA unique;Marketing;"Chiffres non etayes (75%), temoignages invérifiables, formulaire sans handler, liens morts, og:image Lovable par defaut";Landing.tsx:33-38,41-56,141-152,175-195; index.html:18;"Juro/ContractSafe: pricing publie, demos produit reelles","Rewriting source + table leads + consentement RGPD + captures du produit reel + SEO (titre/description/og/sitemap)","2";Moyen;"Un prospect comprend, voit une demo reelle et recoit une reponse";R11.3
R20.2;P2;S6;Pages legales et securite publiees (mentions, CGU, confidentialite, DPA, securite);Conformite;"Aucune page legale; footer non cliquable";Landing.tsx:340-378;"Exigence RGPD/EAA et appels d'offres bancaires","5 pages + bandeau cookies conforme + page securite (chiffrement, hebergement, retention, sous-traitants)","1.5";Eleve;"Les 5 pages existent et sont liees dans le footer";-
